School Name,State Name [Public School] Latest available year,Full-Time Equivalent (FTE) Teachers [Public School] 2012-13,Full-Time Equivalent (FTE) Teachers [Public School] 2011-12,Full-Time Equivalent (FTE) Teachers [Public School] 2010-11,Pupil/Teacher Ratio [Public School] 2012-13,Pupil/Teacher Ratio [Public School] 2011-12,Pupil/Teacher Ratio [Public School] 2010-11,School ID - NCES Assigned [Public School] Latest available year
ALVARADO ELEMENTARY,California,35.1,39.4,–,25.1,21.93,–,062691004065
ALVARADO INTERMEDIATE,California,35.25,37.92,–,24.43,23.81,–,063375005197
ALVARADO MIDDLE,California,52.76,52.3,–,26.91,26.77,–,062691004066
ALVIEW ELEMENTARY,California,8,8,–,19.88,19.25,–,060236000125
ALVIN ELEMENTARY,California,30.5,30.3,–,27.31,25.97,–,060558009313
ALVIN M. DUNN ELEMENTARY,California,23.5,23.5,–,26.09,25.4,–,063488005889
ALVIN S. HATCH ELEMENTARY,California,24,22,–,25.25,25.82,–,060678000596
ALVINA ELEMENTARY CHARTER,California,9.31,9.25,–,22.77,21.84,–,060237000127
ALVORD ALTERNATIVE EDUCATION CENTER,California,3,†,†,13.67,†,†,060243013134
ALVORD CONTINUATION HIGH,California,11,12,–,22.55,18.25,–,060243000128
AMADOR COUNTY ROP,California,–,–,–,–,–,–,060008910738
AMADOR COUNTY SPECIAL EDUCATION,California,29.45,29.62,–,5.7,6.04,–,069100106970
AMADOR HIGH,California,24.07,24.14,–,26.05,25.72,–,060245008786
AMADOR VALLEY HIGH,California,102.83,103.23,–,25.53,25.54,–,060002009282
AMANECER PRIMARY CENTER,California,10,11,–,23.6,22.82,–,062271011621
AMARGOSA CREEK MIDDLE,California,46.89,44.83,–,22.31,22.57,–,062088008717
AMBASSADOR PHILLIP V. SANCHEZ PUBLIC CHARTER,California,6,5.5,†,37.83,30.73,†,063168012984
AMBLER AVENUE ELEMENTARY,California,21,21,–,21.33,21.62,–,062271002809
AMELIA EARHART CONTINUATION,California,5,5,–,24.8,22.2,–,062271002972
AMELIA EARHART ELEMENTARY,California,26.5,25.7,–,22.3,22.76,–,060177000043
AMELIA EARHART ELEMENTARY SCHOOL OF INTERNATIONAL,California,33.6,35.1,–,27.59,27.15,–,061111008766
AMELIA EARHART MIDDLE,California,37,39,–,26.81,26.74,–,063315005006
AMERICA'S FINEST CHARTER,California,10,10.2,†,20.6,15.1,†,063432012854
AMERICAN CANYON HIGH,California,58.93,44.73,–,23.74,22.76,–,062664012535
AMERICAN CANYON MIDDLE,California,39,39.2,–,25.13,24.62,–,062664007575
AMERICAN ELEMENTARY,California,29.5,28.5,–,23.59,25.47,–,063348011603
AMERICAN HIGH,California,80.23,82.68,–,24.73,24.02,–,061440001654
AMERICAN INDIAN PUBLIC CHARTER,California,11,9,–,26,28.33,–,062805005673
AMERICAN INDIAN PUBLIC CHARTER SCHOOL II,California,21,10.9,–,30.43,17.8,–,062805012013
AMERICAN INDIAN PUBLIC HIGH,California,13,9,–,18.69,21.33,–,062805011563
AMERICAN LAKES ELEMENTARY,California,20.8,24.03,–,23.8,21.72,–,060003601095
AMERICAN LEGION HIGH (CONTINUATION),California,16.5,23.5,–,19.88,13.23,–,063384005221
AMERICAN RIVER CHARTER,California,6.56,6.75,–,22.41,24.89,–,060524012774
AMERICAN UNION ELEMENTARY,California,16.9,16,†,19.05,20.38,†,060141500147
AMERICAN UNION ELEMENTARY,California,†,†,–,†,†,–,060255000147
AMESTI ELEMENTARY,California,22,24,–,29.14,25.83,–,062949004534
AMESTOY ELEMENTARY,California,35,36,–,23.2,22.17,–,062271002811
AMISTAD HIGH (CONTINUATION),California,17.2,17.2,–,22.33,25.52,–,061111007694
AMY B. SEIBERT ELEMENTARY,California,29.25,27.29,–,24.51,25.5,–,060639009327
ANACAPA MIDDLE,California,31.36,34.52,–,26.98,27.14,–,064098006743
ANAHEIM HIGH,California,146.58,141.82,–,22.05,23.49,–,060263000169
ANAHEIM HILLS ELEMENTARY,California,19,20,–,29.68,29.45,–,062865004418
ANAHUACALMECAC UNIVERSITY PREPARATORY HIGH,California,7,6.5,–,11,17.54,–,062271012271
ANALY HIGH,California,55.6,52.4,–,24.37,25.17,–,060267000193
ANATOLA AVENUE ELEMENTARY,California,21.5,21.5,–,20.33,20.74,–,062271002812
ANAVERDE HILLS,California,10,10.2,–,28.8,28.82,–,064212010911
ANCHOR ACADEMY CHARTER,California,6.5,5,†,19.23,19.4,†,060141512704
ANCHOR ACADEMY CHARTER,California,†,†,–,†,†,–,061458012704
ANDASOL AVENUE ELEMENTARY,California,18,19.01,–,23.11,23.67,–,062271002814
ANDERSON,California,10,11,–,12.2,11.18,–,063417007342
ANDERSON (ALEX) ELEMENTARY,California,20.5,23,–,25.27,23.39,–,062781009413
ANDERSON (LINFORD L.) ELEMENTARY,California,17,16.85,–,30.53,29.61,–,061128001254
ANDERSON COMMUNITY DAY,California,–,1.2,–,–,11.67,–,060270007439
ANDERSON COMMUNITY DAY TRANSITION,California,–,–,–,–,–,–,060270011937
ANDERSON ELEMENTARY,California,26,27.5,–,18.92,18.65,–,060962000969
ANDERSON ELEMENTARY,California,26,29,–,25.5,24.93,–,064215006901
ANDERSON HEIGHTS ELEMENTARY,California,11,11,–,26.55,23.82,–,060768000734
ANDERSON HIGH,California,27.3,30.6,–,25.53,20.42,–,060270000196
ANDERSON MIDDLE,California,27.5,20.5,–,19.64,21.02,–,060768000733
ANDERSON NEW TECHNOLOGY HIGH,California,10.6,10.27,–,20.85,21.71,–,060270010671
ANDERSON VALLEY ELEMENTARY,California,15.1,14,–,18.81,20.21,–,060273000198
ANDERSON VALLEY JUNIOR-SENIOR HIGH,California,18.19,19.93,–,14.4,12.64,–,060273000199
ANDERSON W. CLARK MAGNET HIGH,California,45.4,47.8,–,24.74,23.64,–,061524007518
ANDRES AND MARIA CARDENAS ELEMENTARY,California,26,22,–,23.85,24.36,–,062271012677
ANDRES DUARTE ELEMENTARY,California,17,16,–,21.24,21.63,–,061152001282
ANDREW CARNEGIE MIDDLE,California,49.7,57.02,–,17.83,16.89,–,062271002896
ANDREW CARNEGIE MIDDLE,California,41.61,38.1,–,25.26,25.56,–,063462005760
ANDREW JACKSON ELEMENTARY,California,26,26,–,27.27,27,–,061111001227
ANDREW JACKSON ELEMENTARY,California,28.61,27.62,–,24.92,24.44,–,063627006186
ANDREW JACKSON ELEMENTARY,California,38.5,43.5,–,29.17,25.98,–,063531005990
ANDREW N. CHRISTENSEN MIDDLE,California,31.85,28.35,–,21.35,22.86,–,062211002618
ANDREW P. HILL HIGH,California,90.95,90.62,–,23.89,24.67,–,061182001301
ANDROS KARPEROS,California,67.14,65.55,–,21,21.27,–,064347011377
ANGEL'S GATE (CONTINUATION),California,3.5,3.01,–,24,27.24,–,062271002815
ANGELES MESA ELEMENTARY,California,20,19.01,–,20.75,22.36,–,062271002816
ANGELO RODRIGUEZ HIGH,California,81.95,83,–,25.41,25.95,–,061336010429
ANGIER ELEMENTARY,California,25.6,21.6,–,21.91,21.53,–,063432005410
ANIMO ALAIN LEROY LOCKE CHARTER HIGH,California,29,32.6,–,15.97,17.3,–,062271003140
ANIMO CHARTER MIDDLE NO. 1,California,–,†,†,–,†,†,062271012905
ANIMO CHARTER MIDDLE NO. 2,California,–,†,†,–,†,†,062271012908
ANIMO CHARTER MIDDLE NO. 3,California,30.2,27.2,†,19.24,19.41,†,062271012935
ANIMO CHARTER MIDDLE NO. 4,California,29,25.2,†,19.93,19.88,†,062271012939
ANIMO COLLEGE PREPARATORY ACADEMY,California,26.2,21.2,†,18.4,18.21,†,062271012903
ANIMO INGLEWOOD CHARTER HIGH,California,28,26.2,–,22.5,23.74,–,061839010538
ANIMO JACKIE ROBINSON HIGH,California,27.2,26.2,–,21.29,22.37,–,062271011636
ANIMO JEFFERSON CHARTER MIDDLE,California,26.2,17.2,–,20.46,21.51,–,062271012690
ANIMO LEADERSHIP HIGH,California,27.2,26.6,–,22.65,23.35,–,062142008504
ANIMO LOCKE ACE ACADEMY,California,†,†,–,†,†,–,062271012436
ANIMO LOCKE CHARTER HIGH SCHOOL #2,California,39.6,39.2,–,17.63,20.69,–,062271012306
ANIMO LOCKE CHARTER HS #3,California,†,†,–,†,†,–,062271012285
ANIMO LOCKE TECHNOLOGY HIGH,California,25.4,22.6,–,18.19,23.85,–,062271011639
ANIMO PAT BROWN,California,28.2,26.2,–,20.89,22.18,–,062271010849
ANIMO RALPH BUNCHE HIGH,California,32.4,32.7,–,21.42,22.81,–,062271011635
ANIMO SOUTH LOS ANGELES CHARTER,California,29,28.2,–,21.69,21.88,–,062271010836
ANIMO VENICE CHARTER HIGH,California,27.2,26.4,–,21.32,20.8,–,062271010848
ANIMO WATTS COLLEGE PREPARATORY ACADEMY,California,27.4,22.93,–,19.16,23.99,–,062271011640
ANIMO WESTSIDE CHARTER MIDDLE,California,13,6,†,19.23,14,†,062271012631
ANN B. LEAVENWORTH,California,31,30,–,26.81,26.5,–,061455003019
ANN SOBRATO HIGH,California,55.94,55.13,–,26.85,26.68,–,062583011453
ANN SOLDO ELEMENTARY,California,24,25,–,29.33,28,–,062949008368
ANN STREET ELEMENTARY,California,6,7,–,22.5,21.43,–,062271002817
ANNA A. BORBA FUNDAMENTAL ELEMENTARY,California,22.05,23,–,28.03,28.43,–,060846000834
ANNA HAUSE ELEMENTARY,California,27.44,28.2,–,28.28,26.77,–,060429012345
ANNA KIRCHGATER ELEMENTARY,California,36,39,–,25.33,23.44,–,061233001403
ANNA KYLE ELEMENTARY,California,37,36,–,21.08,20.83,–,061336001524
ANNA M. GLAZIER ELEMENTARY,California,19.52,18.52,–,27.36,28.83,–,062769004167
ANNA MCKENNEY INTERMEDIATE,California,24.3,24.6,–,20.53,20.81,–,062409003620
ANNA YATES ELEMENTARY,California,27,23,–,19.48,19.48,–,061263001425
ANNALEE AVENUE ELEMENTARY,California,15,16.01,–,21.67,23.55,–,062271002818
ANNANDALE ELEMENTARY,California,14,14,–,22.14,23.79,–,062271002819
ANNE DARLING ELEMENTARY,California,27.55,29.3,–,17.17,18.23,–,063459005699
ANNIE E. CHENEY KINDERGARTEN,California,4,4,†,25.25,24.25,†,060912010207
ANNIE PENNYCOOK ELEMENTARY,California,23,26.57,–,25.13,22.69,–,064074006718
ANNIE R. MITCHELL,California,25,25,–,29.36,28.36,–,064116006807
ANSEL ADAMS,California,33.54,35.62,–,24.09,23.58,–,062223011413
ANSGAR LARSEN ELEMENTARY,California,27,28,–,29.56,27.71,–,061785002204
ANTECELLO PREPARATORY ACADEMY,California,†,3,†,–,10,†,062271012803
ANTELOPE COMMUNITY DAY,California,1,1.33,–,5,4.51,–,060276008413
ANTELOPE CREEK ELEMENTARY,California,18,17,–,24.83,24.41,–,060001300805
ANTELOPE CROSSING MIDDLE,California,35.41,37.4,–,24.51,24.39,–,061149003494
ANTELOPE ELEMENTARY,California,15,17,–,26.07,23.71,–,060276000201
ANTELOPE ELEMENTARY,California,14,13,–,26.79,26.23,–,061944002333
ANTELOPE ELEMENTARY,California,8.92,9.33,–,16.26,15.43,–,061187001323
ANTELOPE HIGH,California,71.7,73.17,–,25.19,24.33,–,063363012310
ANTELOPE HILLS ELEMENTARY,California,29.9,35.4,–,28.93,23.84,–,060002911044
ANTELOPE MEADOWS ELEMENTARY,California,28.85,31.9,–,24.51,23.17,–,061149010268
ANTELOPE VALLEY COMMUNITY DAY,California,†,–,–,–,–,–,069107808004
ANTELOPE VALLEY HIGH,California,80.12,81.77,–,21.42,21.67,–,060282000203
ANTELOPE VALLEY LEARNING ACADEMY,California,32.68,13.25,–,25.89,19.77,–,062958012022
ANTELOPE VALLEY ROP,California,–,–,–,–,–,–,060011210925
ANTELOPE VIEW CHARTER,California,2,6.4,–,27,20.16,–,060790008581
ANTHONY C. TRAINA ELEMENTARY,California,35,36.5,–,23.11,22.74,–,061884011411
ANTHONY G. BACICH ELEMENTARY,California,36.26,36.5,–,18.73,17.89,–,061938002327
ANTHONY P. RUSSO ACADEMY,California,18.66,17.5,–,17.63,19.66,–,060231012063
ANTHONY SPANGLER ELEMENTARY,California,22,20,–,23.73,26.45,–,062450003675
ANTHONY W. OCHOA MIDDLE,California,27.12,29.26,–,22.42,21.46,–,061674009847
ANTIOCH CHARTER ACADEMY,California,10.1,10.3,–,19.8,19.22,–,060285007493
ANTIOCH CHARTER ACADEMY II,California,9.9,10.05,–,19.9,18.71,–,060285011984
ANTIOCH HIGH,California,82.75,88.6,–,23.13,22.23,–,060285000207
ANTIOCH MIDDLE,California,31.3,35.89,–,24.54,21.26,–,060285000208
ANTONIO DEL BUONO ELEMENTARY,California,23.6,25,–,27.33,25.08,–,061518008355
ANZA ELEMENTARY,California,24,22.4,–,24.5,24.15,–,060681000603
ANZA ELEMENTARY,California,25.81,23.18,–,24.64,26.45,–,063942006550
ANZAR HIGH,California,19.64,18.84,–,18.99,21.97,–,069113603761
APEX ACADEMY,California,15.2,16,–,13.16,20.69,–,062271012312
APOLLO ELEMENTARY COMMUNITY DAY,California,–,–,–,–,–,–,069101710950
APOLLO HIGH,California,16.78,17.7,–,15.2,14.29,–,063684006245
APOLLO HIGH,California,8.07,8,–,18.46,20,–,061182006643
APPERSON STREET ELEMENTARY,California,20,18,–,23.6,24.06,–,062271002820
APPLE ACADEMY CHARTER PUBLIC,California,19,†,†,17.53,†,†,062271013183
APPLE BLOSSOM,California,21.6,22.7,–,20.14,18.94,–,064023006652
APPLE VALLEY HIGH,California,81.84,80,–,25.99,26.05,–,060001709098
APPLE VALLEY UNIFIED PRESCHOOL SPECIAL EDUCATION,California,–,†,†,–,†,†,060001713290
APPLIED TECHNOLOGY CENTER,California,19.1,10.17,†,20,23.01,†,062547012972
APRICOT VALLEY ELEMENTARY,California,29,29,–,28.72,28.72,–,063003011495
APRIL LANE ELEMENTARY,California,21.14,20.14,–,23.56,23.14,–,064347007029
APTITUD COMMUNITY ACADEMY AT GOSS,California,19.64,20.17,–,19.3,19.09,–,060231000106
APTOS HIGH,California,54,54,–,24.98,25.59,–,062949004535
APTOS JUNIOR HIGH,California,29.5,26.35,–,25.08,27.86,–,062949004536
APTOS MIDDLE,California,46.1,46.5,–,22.82,21.16,–,063441005585
ARAGON AVENUE ELEMENTARY,California,20,20,–,22.05,22.75,–,062271002821
ARAGON HIGH,California,68.2,67.8,–,21.13,22.11,–,063498005919
ARARAT CHARTER,California,14.15,11,–,22.4,23.18,–,062271012437
ARBOGA ELEMENTARY,California,20.2,20,–,25.84,25.3,–,062409003621
ARBOLITA ELEMENTARY,California,12.5,12.5,–,28.8,27.76,–,062019007589
ARBUCKLE ALTERNATIVE HIGH (CONTINUATION),California,0.75,0.75,–,14.67,9.33,–,063036002931
ARBUCKLE ELEMENTARY,California,25,23,–,24.08,23.61,–,063036004734
ARCADE FUNDAMENTAL MIDDLE,California,24,14.33,–,24.67,–,–,063462005752
ARCADIA HIGH,California,133.32,145.46,–,26.36,25.2,–,060297000223
ARCATA ELEMENTARY,California,14.18,17.25,–,21.44,16.06,–,060300000237
ARCATA HIGH,California,39.21,34.95,–,21.07,23.4,–,060303000238
ARCHITECTURE CONSTRUCTION & ENGINEERING CHARTER H,California,13,11,–,19.85,20.36,–,062927012465
ARCHWAYS COMMUNITY DAY,California,†,–,–,–,–,–,062664008532
ARCOHE ELEMENTARY,California,20,19,–,20.7,21.79,–,060306000241
ARDEN MIDDLE,California,34.45,34.6,–,27.2,25.43,–,063462005753
ARDENWOOD ELEMENTARY,California,35,34.6,–,26.14,25.38,–,061440008138
ARDIS G. EGAN JUNIOR HIGH,California,24.57,24.13,–,21.16,23.04,–,062265002786
ARELLANES (DON JUAN BAUTISTA) ELEMENTARY,California,12.5,12.5,–,22.72,22.88,–,060558009314
ARELLANES JUNIOR HIGH,California,25.5,26.95,–,21.96,20.48,–,060558010660
ARENA ELEMENTARY,California,15.93,17.21,–,16.64,14.24,–,060309000242
ARENA HIGH (CONTINUATION),California,1,1,–,18,21,–,061221008826
ARGONAUT ELEMENTARY,California,19,20,–,22.26,22.2,–,063591006147
ARGONAUT HIGH,California,21.73,22.18,–,25.72,26.56,–,060245008787
ARGONNE ELEMENTARY,California,19.53,19,–,22.43,22.37,–,063441005586
ARGUS HIGH (CONTINUATION),California,10.33,10.27,–,27.88,29.11,–,060813000782
ARISE HIGH,California,12.25,10,–,19.51,23.6,–,062805012040
ARIZONA MIDDLE,California,44.2,49.4,–,25.81,23.44,–,060243000129
ARK INDEPENDENT STUDIES,California,2.3,2.7,–,33.04,20.37,–,063560007869
ARLANZA ELEMENTARY,California,22.53,23,–,30.94,30.35,–,060243000130
ARLENE HEIN ELEMENTARY,California,45,45,–,25.33,23.98,–,061233011060
ARLETA HIGH,California,62.5,61.04,–,25.09,27.21,–,062271011652
ARLIE F. HUTCHINSON MIDDLE,California,21,22.5,–,25.24,25.38,–,062769004170
ARLINGTON ELEMENTARY,California,24.38,25.21,–,24.49,24.12,–,063942006551
ARLINGTON HEIGHTS ELEMENTARY,California,28,28,–,22.96,22.64,–,062271002825
ARLINGTON HEIGHTS ELEMENTARY,California,10.22,11.5,–,29.84,29.83,–,063462005754
ARLINGTON HIGH,California,83.9,86.8,–,25.69,25.03,–,063315005131
ARMA J. SHULL ELEMENTARY,California,21.8,24.6,–,25.87,23.01,–,060561000504
ARMADA ELEMENTARY,California,25,25,–,28.44,28.16,–,062580003863
ARMIJO HIGH,California,96.81,88.95,–,24.74,25.18,–,061336001510
ARMINTA STREET ELEMENTARY,California,23,25,–,22.09,21.44,–,062271002826
ARMONA ELEMENTARY,California,27.3,27.3,–,21.25,21.83,–,060318000243
ARMSTRONG ELEMENTARY,California,16,14,–,25,21.57,–,063132004836
ARNOLD ADREANI ELEMENTARY,California,29,29,–,26.66,25.24,–,061233011064
ARNOLD O. BECKMAN HIGH,California,85.98,82.58,–,28.73,28.92,–,064015010994
AROMAS,California,16,17.52,–,24.81,24.77,–,069113610298
AROVISTA ELEMENTARY,California,19,20,–,29.47,28.25,–,060588000526
ARROW HIGH (CONTINUATION),California,4.2,4.4,–,12.38,18.41,–,060819000798
ARROWHEAD ELEMENTARY,California,11,15,–,29.82,20.87,–,063417005345
ARROWVIEW MIDDLE,California,54.87,56.5,–,18.83,20.42,–,063417005346
ARROYO ELEMENTARY,California,23.2,21,–,23.28,24.52,–,062847004387
ARROYO ELEMENTARY,California,28,31.5,–,25.54,23.87,–,063132004837
ARROYO ELEMENTARY,California,13,13.5,–,23.85,26.37,–,063684010712
ARROYO ELEMENTARY,California,19.5,19,–,31.69,32,–,064015006633
ARROYO GRANDE HIGH,California,96.73,96.95,–,22.81,22.95,–,062308003516
ARROYO HIGH,California,68.66,69.98,–,26.01,25.59,–,063471005845
ARROYO HIGH,California,99.94,95.24,–,23.71,24.28,–,061212001363
ARROYO PASEO CHARTER HIGH,California,10.6,11.1,–,12.08,11.71,–,063432011912
ARROYO SECO ELEMENTARY,California,31.4,32,–,21.88,23.06,–,062211002620
ARROYO SECO JUNIOR HIGH,California,49.2,48,–,25.65,26.06,–,064251006956
ARROYO SECO MUSEUM SCIENCE,California,21,22,–,25.24,25.32,–,062271008888
ARROYO VALLEY HIGH,California,107.01,115,–,24.26,24.9,–,063417010365
ARROYO VERDE ELEMENTARY,California,23.06,23.56,–,24.93,24.53,–,063207009619
ARROYO VISTA CHARTER,California,43,39,–,24.09,23.59,–,060861008299
ARROYO VISTA ELEMENTARY,California,30,28,–,22.9,23.46,–,063750006332
ARROYO VISTA ELEMENTARY,California,19.43,21.5,–,30.67,28.33,–,060744000745
ARROYO VISTA MIDDLE,California,14.95,16.8,–,24.88,23.99,–,060744011701
ARROYO WEST ELEMENTARY,California,17,17,–,25.53,24.29,–,062569010342
ART FREILER,California,36.67,35.5,–,26.62,26.93,–,060004710394
ART HAYCOX ELEMENTARY,California,31,31.5,–,30.32,28.7,–,061785002201
ARTESIA HIGH,California,64,61.4,–,23.47,23.65,–,060162000002
ARTHUR A. BENJAMIN HEALTH PROFESSIONS HIGH,California,13.5,13.6,–,22.44,28.75,–,063384011078
ARTHUR C. BUTLER ELEMENTARY,California,36,36,–,26,26.61,–,061233007608
ARTHUR E. MILLS INTERMEDIATE,California,10,11,–,33,29.73,–,061384001559
ARTHUR E. WRIGHT MIDDLE,California,31.25,31.7,–,26.21,25.24,–,062100002528
ARTHUR F. COREY ELEMENTARY,California,22.13,24.13,–,28.42,25.98,–,060636000554
ARTHUR HAPGOOD ELEMENTARY,California,22.05,21.67,–,19.86,18.41,–,062241002681
ARTHUR S. DUDLEY ELEMENTARY,California,26,26,–,27.5,28.04,–,060790007663
ARTLAB AT SONIA SOTOMAYOR LEARNING ACADEMICS,California,13,12.03,†,22.23,19.95,†,062271012867
ARTS IN ACTION COMMUNITY CHARTER,California,13,9,†,19.31,22.11,†,062271012683
ARTURO SANCHEZ ELEMENTARY,California,16,16,–,26.44,25.44,–,062769004181
ARUNDEL ELEMENTARY,California,20,19.24,–,23.2,23.28,–,063429005400
ARVIN HIGH,California,108.06,103.83,–,22.58,23.95,–,061954002339
ASA CHARTER,California,14.33,16,–,20.87,19,–,063417011105
ASAWA (RUTH) SAN FRANCISCO SCH OF THE ARTS A PUBL,California,29.14,33.71,–,20.56,17.77,–,063441001276
ASCEND,California,19.5,19.5,–,22.41,22.36,–,062805008677
ASCOT AVENUE ELEMENTARY,California,37,44,–,24.11,23.14,–,062271002827
ASHLEY FALLS ELEMENTARY,California,26.2,25.91,–,16.56,16.33,–,061074007660
ASPEN ELEMENTARY,California,18,17.03,–,20.44,22.37,–,060964001005
ASPIRE ALEXANDER TWILIGHT COLLEGE PREPARATORY ACAD,California,17,17,–,24.47,24.35,–,060132412449
ASPIRE ALEXANDER TWILIGHT SECONDARY ACADEMY,California,12.1,9,–,22.4,21,–,060132412785
ASPIRE ANTONIO MARIA LUGO ACADEMY,California,9,9,–,26.11,26,–,062271010891
ASPIRE APEX ACADEMY,California,10.5,11,–,26.86,24.82,–,060132412659
ASPIRE BENJAMIN HOLT COLLEGE PREPARATORY ACADEMY,California,28,32,–,24.96,20.19,–,062223011341
ASPIRE BERKLEY MAYNARD ACADEMY,California,23.9,24.35,–,23.31,22.63,–,062805010727
ASPIRE CALIFORNIA COLLEGE PREPARATORY ACADEMY,California,21.5,19.33,–,21.67,21.31,–,069105112283
ASPIRE CAPITOL HEIGHTS ACADEMY,California,12,13,–,23.67,22.46,–,063384011189
ASPIRE CENTENNIAL COLLEGE PREPARATORY ACADEMY,California,–,†,†,–,†,†,062271013135
ASPIRE EAST PALO ALTO CHARTER,California,21.2,22.8,–,24.81,22.63,–,063186007420
ASPIRE EAST PALO ALTO PHOENIX ACADEMY,California,11.3,12.5,–,17.43,14.64,–,063639012231
ASPIRE ERES ACADEMY,California,11,11,–,20.18,20.45,–,062805012542
ASPIRE FIRESTONE ACADEMY,California,16,16,–,23.44,23.31,–,062271012761
ASPIRE GATEWAY ACADEMY,California,15,15,–,24.93,24.47,–,062271012679
ASPIRE GOLDEN STATE COLLEGE PREPARATORY ACADEMY,California,23.9,22.08,–,20.08,17.89,–,062805012331
ASPIRE HUNTINGTON PARK CHARTER,California,9,9,–,26.11,25.56,–,062271012205
ASPIRE INSKEEP ACADEMY CHARTER,California,13,12,†,25,24.25,†,062271012856
