School Name,State Name [Public School] Latest available year,State Abbr [Public School] Latest available year,School Name [Public School] 2012-13,School ID - NCES Assigned [Public School] Latest available year,Agency Name [Public School] 2012-13,Agency ID - NCES Assigned [Public School] Latest available year,County Name [Public School] 2012-13,County Number [Public School] 2012-13,Race/Ethnicity Category [Public School] 2012-13,ANSI/FIPS State Code [Public School] Latest available year,Years School Reported Data [Public School] Latest available year,Years School Did Not Report Data [Public School] Latest available year,Location City [Public School] 2014-15,Location State Abbr [Public School] 2014-15,Location ZIP [Public School] 2014-15,Location Address 1 [Public School] 2014-15,School Type [Public School] 2012-13,Agency Type [District] 2012-13,Start of Year Status [Public School] 2012-13,Charter School [Public School] 2012-13
ROBERT F. KENNEDY HIGH,California,CA ,ROBERT F. KENNEDY HIGH,061086012157,DELANO JOINT UNION HIGH,0610860,KERN COUNTY,06029,Reported 7 categories,06,2007-2014,1986-2006,DELANO,CA ,93215,1401 HIETT AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROBERT FROST MIDDLE,California,CA ,ROBERT FROST MIDDLE,062271003027,LOS ANGELES UNF,0622710,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,GRANADA HILLS,CA ,91344,12314 BRADFORD PL.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROBERT FULTON COLLEGE PREPARATORY,California,CA ,ROBERT FULTON COLLEGE PREPARATORY,062271003029,LOS ANGELES UNF,0622710,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,VAN NUYS,CA ,91405,7477 KESTER AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROBERT H. LEWIS CONTINUATION,California,CA ,ROBERT H. LEWIS CONTINUATION,062271003134,LOS ANGELES UNF,0622710,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,SUN VALLEY,CA ,91352,12508 WICKS ST.,4-Alternative/other school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROBERT HEIDEMAN ELEMENTARY,California,CA ,ROBERT HEIDEMAN ELEMENTARY,064015006639,TUSTIN UNF,0640150,ORANGE COUNTY,06059,Reported 7 categories,06,1986-2014,,TUSTIN,CA ,92780,15571 WILLIAMS ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROBERT HILL LANE ELEMENTARY,California,CA ,ROBERT HILL LANE ELEMENTARY,062271003122,LOS ANGELES UNF,0622710,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,MONTEREY PARK,CA ,91754,1500 CESAR CHAVEZ AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROBERT J. FITE ELEMENTARY,California,CA ,ROBERT J. FITE ELEMENTARY,061233010596,ELK GROVE UNF,0612330,SACRAMENTO COUNTY,06067,Reported 7 categories,06,2002-2014,1986-2001,SACRAMENTO,CA ,95829,9561 BUTLER SCH RD.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROBERT J. FRANK INTERMEDIATE,California,CA ,ROBERT J. FRANK INTERMEDIATE,062922004240,OXNARD,0629220,VENTURA COUNTY,06111,Reported 7 categories,06,1994-2014,1986-1993,OXNARD,CA ,93030,701 N. JUANITA AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROBERT L. STEVENS ELEMENTARY,California,CA ,ROBERT L. STEVENS ELEMENTARY,064320004118,WRIGHT ELEM,0643200,SONOMA COUNTY,06097,Reported 7 categories,06,1994-2014,1986-1993,SANTA ROSA,CA ,95407,2345 GIFFEN AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROBERT LOUIS STEVENSON INTERMEDIATE,California,CA ,ROBERT LOUIS STEVENSON INTERMEDIATE,063783006388,SAINT HELENA UNF,0637830,NAPA COUNTY,06055,Reported 7 categories,06,1986-2014,,ST. HELENA,CA ,94574,1316 HILLVIEW PL.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROBERT LOUIS STEVENSON MIDDLE,California,CA ,ROBERT LOUIS STEVENSON MIDDLE,062271003372,LOS ANGELES UNF,0622710,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,LOS ANGELES,CA ,90023,725 S. INDIANA ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROBERT M. PYLES ELEMENTARY,California,CA ,ROBERT M. PYLES ELEMENTARY,062343003562,MAGNOLIA ELEM,0623430,ORANGE COUNTY,06059,Reported 7 categories,06,1986-2014,,STANTON,CA ,90680,10411 S. DALE ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROBERT O. TOWNSEND JUNIOR HIGH,California,CA ,ROBERT O. TOWNSEND JUNIOR HIGH,060846008808,CHINO VALLEY UNF,0608460,SAN BERNARDINO COUNTY,06071,Reported 7 categories,06,1986-2014,,CHINO HILLS,CA ,91709,15359 ILEX DR.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROBERT P. ULRICH ELEMENTARY,California,CA ,ROBERT P. ULRICH ELEMENTARY,062523003773,MOJAVE UNF,0625230,KERN COUNTY,06029,Reported 7 categories,06,1986-2014,,CALIFORNIA CITY,CA ,93505,9124 CATALPA AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROBERT RANDALL ELEMENTARY,California,CA ,ROBERT RANDALL ELEMENTARY,062450003671,MILPITAS UNF,0624500,SANTA CLARA COUNTY,06085,Reported 7 categories,06,1986-2014,,MILPITAS,CA ,95035,1300 EDSEL DR.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROBERT SANDERS ELEMENTARY,California,CA ,ROBERT SANDERS ELEMENTARY,062640003990,MT. PLEASANT ELEM,0626400,SANTA CLARA COUNTY,06085,Reported 7 categories,06,1986-2014,,SAN JOSE,CA ,95127,3411 ROCKY MOUNTAIN DR.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROBERT SEMPLE ELEMENTARY,California,CA ,ROBERT SEMPLE ELEMENTARY,060462000427,BENICIA UNF,0604620,SOLANO COUNTY,06095,Reported 7 categories,06,1986-2014,,BENICIA,CA ,94510,2015 E. THIRD ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROBERTS FERRY CHARTER SCHOOL ACADEMY,California,CA ,ROBERTS FERRY CHARTER SCHOOL ACADEMY,063321012712,ROBERTS FERRY UNION ELEM,0633210,STANISLAUS COUNTY,06099,Reported 7 categories,06,2010-2014,1986-2009,WATERFORD,CA ,95386,101 ROBERTS FERRY RD.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,1-Yes
ROBERTS FERRY COMMUNITY DAY,California,CA ,ROBERTS FERRY COMMUNITY DAY,063321007458,ROBERTS FERRY UNION ELEM,0633210,STANISLAUS COUNTY,06099,Reported 7 categories,06,1997-2014,1986-1996,WATERFORD,CA ,95386,101 ROBERTS FERRY RD.,4-Alternative/other school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROBERTS FERRY UNION ELEMENTARY,California,CA ,ROBERTS FERRY UNION ELEMENTARY,063321005164,ROBERTS FERRY UNION ELEM,0633210,STANISLAUS COUNTY,06099,Reported 7 categories,06,1986-2014,,WATERFORD,CA ,95386,101 ROBERTS FERRY RD.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROBERTSON HIGH (CONTINUATION),California,CA ,ROBERTSON HIGH (CONTINUATION),061440001686,FREMONT UNF,0614400,ALAMEDA COUNTY,06001,Reported 7 categories,06,1986-2014,,FREMONT,CA ,94538,4455 SENECA PARK AVE.,4-Alternative/other school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROBERTSON ROAD ELEMENTARY,California,CA ,ROBERTSON ROAD ELEMENTARY,062513003747,MODESTO CITY ELEM,0625130,STANISLAUS COUNTY,06099,Reported 7 categories,06,1986-2014,,MODESTO,CA ,95351,1821 ROBERTSON RD.,1-Regular school,2-Local school district that is a component of a supervisory union,1-Currently operational ,2-No
ROBINSON ACADEMY,California,CA ,ROBINSON ACADEMY,062250003226,LONG BEACH UNF,0622500,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1994-2014,1986-1993,LONG BEACH,CA ,90806,2750 PINE AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROBINSON ELEMENTARY,California,CA ,ROBINSON ELEMENTARY,061455001760,FRESNO UNF,0614550,FRESNO COUNTY,06019,Reported 7 categories,06,1986-2014,,FRESNO,CA ,93710,555 E. BROWNING AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROBINSON ELEMENTARY,California,CA ,ROBINSON ELEMENTARY,063386003453,SADDLEBACK VALLEY UNF,0633860,ORANGE COUNTY,06059,Reported 7 categories,06,1994-2014,1986-1993,TRABUCO CANYON,CA ,92679,21400 LINDSAY DR.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROBLA ELEMENTARY,California,CA ,ROBLA ELEMENTARY,063324005166,ROBLA ELEM,0633240,SACRAMENTO COUNTY,06067,Reported 7 categories,06,1986-2014,,SACRAMENTO,CA ,95838,5200 MARYSVILLE BLVD.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROCHE ELEMENTARY,California,CA ,ROCHE ELEMENTARY,060006404874,PORTERVILLE UNF,0600064,TULARE COUNTY,06107,Reported 7 categories,06,1998-2014,1986-1997,PORTERVILLE,CA ,93257,388 N. ROCHE ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROCK CREEK ELEMENTARY,California,CA ,ROCK CREEK ELEMENTARY,060348000267,AUBURN UNION ELEM,0603480,PLACER COUNTY,06061,Reported 7 categories,06,1986-2014,,AUBURN,CA ,95603,3050 BELL RD.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROCK CREEK ELEMENTARY,California,CA ,ROCK CREEK ELEMENTARY,060001310575,ROCKLIN UNF,0600013,PLACER COUNTY,06061,Reported 7 categories,06,2002-2014,1986-2001,ROCKLIN,CA ,95765,2140 COLLET QUARRY DR.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROCK SPRINGS ELEMENTARY,California,CA ,ROCK SPRINGS ELEMENTARY,061288003933,ESCONDIDO UNION,0612880,SAN DIEGO COUNTY,06073,Reported 7 categories,06,1994-2014,1986-1993,ESCONDIDO,CA ,92026,1155 DEODAR RD.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROCKDALE ELEMENTARY,California,CA ,ROCKDALE ELEMENTARY,062271003312,LOS ANGELES UNF,0622710,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,LOS ANGELES,CA ,90041,1303 YOSEMITE DR.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROCKETSHIP DISCOVERY PREP,California,CA ,ROCKETSHIP DISCOVERY PREP,069103512668,SANTA CLARA COUNTY OFFICE OF EDUCATION,0691035,SANTA CLARA COUNTY,06085,Reported 7 categories,06,2010-2014,1986-2009,SAN JOSE,CA ,95116,370 WOOSTER ST.,1-Regular school,4-Regional Education Service Agency (RESA),1-Currently operational ,1-Yes
ROCKETSHIP LOS SUENOS ACADEMY,California,CA ,ROCKETSHIP LOS SUENOS ACADEMY,069103512478,SANTA CLARA COUNTY OFFICE OF EDUCATION,0691035,SANTA CLARA COUNTY,06085,Reported 7 categories,06,2009-2014,1986-2008,SAN JOSE,CA ,95116,331 S. 34TH ST.,1-Regular school,4-Regional Education Service Agency (RESA),1-Currently operational ,1-Yes
ROCKETSHIP MATEO SHEEDY ELEMENTARY,California,CA ,ROCKETSHIP MATEO SHEEDY ELEMENTARY,069103511864,SANTA CLARA COUNTY OFFICE OF EDUCATION,0691035,SANTA CLARA COUNTY,06085,Reported 7 categories,06,2006-2014,1986-2005,SAN JOSE,CA ,95110,788 LOCUST ST.,1-Regular school,4-Regional Education Service Agency (RESA),1-Currently operational ,1-Yes
ROCKETSHIP MOSAIC ELEMENTARY,California,CA ,ROCKETSHIP MOSAIC ELEMENTARY,061437012645,FRANKLIN-MCKINLEY ELEM,0614370,SANTA CLARA COUNTY,06085,Reported 7 categories,06,2010-2014,1986-2009,SAN JOSE,CA ,95122,950 OWSLEY AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,1-Yes
ROCKETSHIP SI SE PUEDE ACADEMY,California,CA ,ROCKETSHIP SI SE PUEDE ACADEMY,069103512225,SANTA CLARA COUNTY OFFICE OF EDUCATION,0691035,SANTA CLARA COUNTY,06085,Reported 7 categories,06,2008-2014,1986-2007,SAN JOSE,CA ,95116,2249 DOBERN AVE.,1-Regular school,4-Regional Education Service Agency (RESA),1-Currently operational ,1-Yes
ROCKEY GLENN CAMP,California,CA ,ROCKEY GLENN CAMP,069107812637,LOS ANGELES COUNTY OFFICE OF EDUCATION,0691078,LOS ANGELES COUNTY,06037,Reported 7 categories,06,2010-2014,1986-2009,SAN DIMAS,CA ,91773,1900 N. SYCAMORE CANYON RD.,4-Alternative/other school,4-Regional Education Service Agency (RESA),1-Currently operational ,2-No
ROCKFORD ELEMENTARY,California,CA ,ROCKFORD ELEMENTARY,063327005168,ROCKFORD ELEM,0633270,TULARE COUNTY,06107,Reported 7 categories,06,1986-2014,,PORTERVILLE,CA ,93257,14983 RD. 208,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROCKLIN ACADEMY,California,CA ,ROCKLIN ACADEMY,060001308762,ROCKLIN UNF,0600013,PLACER COUNTY,06061,Reported 7 categories,06,2001-2014,1986-2000,ROCKLIN,CA ,95765,6532 TURNSTONE WAY,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,1-Yes
ROCKLIN ACADEMY AT MEYERS STREET,California,CA ,ROCKLIN ACADEMY AT MEYERS STREET,060001312012,ROCKLIN UNF,0600013,PLACER COUNTY,06061,Reported 7 categories,06,2006-2014,1986-2005,ROCKLIN,CA ,95677,5035 MEYERS ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,1-Yes
ROCKLIN ALTERNATIVE EDUCATION CENTER,California,CA ,ROCKLIN ALTERNATIVE EDUCATION CENTER,060001306197,ROCKLIN UNF,0600013,PLACER COUNTY,06061,Reported 7 categories,06,1996-2014,1986-1995,ROCKLIN,CA ,95765,3250 VICTORY DR.,4-Alternative/other school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROCKLIN ELEMENTARY,California,CA ,ROCKLIN ELEMENTARY,060001309070,ROCKLIN UNF,0600013,PLACER COUNTY,06061,Reported 7 categories,06,1987-2014,1986,ROCKLIN,CA ,95677,5025 MEYERS ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROCKLIN HIGH,California,CA ,ROCKLIN HIGH,060001302405,ROCKLIN UNF,0600013,PLACER COUNTY,06061,Reported 7 categories,06,1993-2014,1986-1992,ROCKLIN,CA ,95765,5301 VICTORY LN.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROCKWOOD ELEMENTARY,California,CA ,ROCKWOOD ELEMENTARY,060690000640,CALEXICO UNF,0606900,IMPERIAL COUNTY,06025,Reported 7 categories,06,1986-2014,,CALEXICO,CA ,92231,1000 ROCKWOOD AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROCKY HILL ELEMENTARY,California,CA ,ROCKY HILL ELEMENTARY,061320001502,EXETER UNION ELEM,0613200,TULARE COUNTY,06107,Reported 7 categories,06,1986-2012,2013-2014,,,,,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROCKY POINT CHARTER,California,CA ,ROCKY POINT CHARTER,061495011927,GATEWAY UNF,0614950,SHASTA COUNTY,06089,Reported 7 categories,06,2006-2014,1986-2005,REDDING,CA ,96003,3500 TAMARACK DR.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,1-Yes
ROCKY RIDGE HIGH,California,CA ,ROCKY RIDGE HIGH,069101510512,LASSEN COUNTY OFFICE OF EDUCATION,0691015,LASSEN COUNTY,06035,Reported 7 categories,06,2002-2014,1986-2001,SUSANVILLE,CA ,96130,477-060 SHERIFF CADY LN.,4-Alternative/other school,4-Regional Education Service Agency (RESA),1-Currently operational ,2-No
ROD KELLEY ELEMENTARY,California,CA ,ROD KELLEY ELEMENTARY,061518009140,GILROY UNF,0615180,SANTA CLARA COUNTY,06085,Reported 7 categories,06,1987-2014,1986,GILROY,CA ,95020,8755 KERN AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
RODEO HILLS ELEMENTARY,California,CA ,RODEO HILLS ELEMENTARY,061899002301,JOHN SWETT UNF,0618990,CONTRA COSTA COUNTY,06013,Reported 7 categories,06,1986-2014,,RODEO,CA ,94572,545 GARRETSON ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
RODRIGUEZ ELEMENTARY,California,CA ,RODRIGUEZ ELEMENTARY,063432011973,SAN DIEGO UNF,0634320,SAN DIEGO COUNTY,06073,Reported 7 categories,06,2006-2014,1986-2005,SAN DIEGO,CA ,92113,825 S. 31ST ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROEDING ELEMENTARY,California,CA ,ROEDING ELEMENTARY,061455001761,FRESNO UNF,0614550,FRESNO COUNTY,06019,Reported 7 categories,06,1986-2014,,FRESNO,CA ,93705,1225 W. DAKOTA AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROGER ANTON ELEMENTARY,California,CA ,ROGER ANTON ELEMENTARY,063417011107,SAN BERNARDINO CITY UNF,0634170,SAN BERNARDINO COUNTY,06071,Reported 7 categories,06,2005-2014,1986-2004,SAN BERNARDINO,CA ,92404,1501 ANTON CT.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROGER S. ORAZE ELEMENTARY,California,CA ,ROGER S. ORAZE ELEMENTARY,060903012798,CLOVIS UNF,0609030,FRESNO COUNTY,06019,Reported 7 categories,06,2010-2014,1986-2009,FRESNO,CA ,93727,3468 N. ARMSTRONG AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROGERS (GREG) ELEMENTARY,California,CA ,ROGERS (GREG) ELEMENTARY,060861000874,CHULA VISTA ELEM,0608610,SAN DIEGO COUNTY,06073,Reported 7 categories,06,1986-2014,,CHULA VISTA,CA ,91911,510 E. NAPLES ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROGERS MIDDLE,California,CA ,ROGERS MIDDLE,062250002755,LONG BEACH UNF,0622500,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,LONG BEACH,CA ,90803,365 MONROVIA AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROHR (FRED H.) ELEMENTARY,California,CA ,ROHR (FRED H.) ELEMENTARY,060861000875,CHULA VISTA ELEM,0608610,SAN DIEGO COUNTY,06073,Reported 7 categories,06,1986-2014,,CHULA VISTA,CA ,91911,1540 MALTA AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROLANDO ELEMENTARY,California,CA ,ROLANDO ELEMENTARY,062025002443,LA MESA-SPRING VALLEY,0620250,SAN DIEGO COUNTY,06073,Reported 7 categories,06,1986-2014,,LA MESA,CA ,91941,6925 TOWER ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROLANDO PARK ELEMENTARY,California,CA ,ROLANDO PARK ELEMENTARY,063432005540,SAN DIEGO UNF,0634320,SAN DIEGO COUNTY,06073,Reported 7 categories,06,1986-2014,,SAN DIEGO,CA ,92115,6620 MARLOWE DR.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROLLING HILLS ELEMENTARY,California,CA ,ROLLING HILLS ELEMENTARY,063153004894,POWAY UNF,0631530,SAN DIEGO COUNTY,06073,Reported 7 categories,06,1986-2014,,SAN DIEGO,CA ,92129,15255 PENASQUITOS DR.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROLLING HILLS ELEMENTARY,California,CA ,ROLLING HILLS ELEMENTARY,061336011995,FAIRFIELD-SUISUN UNF,0613360,SOLANO COUNTY,06095,Reported 7 categories,06,2006-2014,1986-2005,FAIRFIELD,CA ,94534,2025 FIELDCREST AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROLLING HILLS ELEMENTARY,California,CA ,ROLLING HILLS ELEMENTARY,061473001804,FULLERTON ELEM,0614730,ORANGE COUNTY,06059,Reported 7 categories,06,1986-2014,,FULLERTON,CA ,92835,1460 E. ROLLING HILLS DR.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROLLING HILLS MIDDLE,California,CA ,ROLLING HILLS MIDDLE,062949004550,PAJARO VALLEY UNF,0629490,SANTA CRUZ COUNTY,06087,Reported 7 categories,06,1986-2014,,WATSONVILLE,CA ,95076,130 HERMAN AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROLLING HILLS MIDDLE,California,CA ,ROLLING HILLS MIDDLE,060720000674,CAMPBELL UNION,0607200,SANTA CLARA COUNTY,06085,Reported 7 categories,06,1986-2014,,LOS GATOS,CA ,95030,1585 MORE AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,1-Yes
ROLLING HILLS MIDDLE,California,CA ,ROLLING HILLS MIDDLE,060627002958,BUCKEYE UNION ELEM,0606270,EL DORADO COUNTY,06017,Reported 7 categories,06,1994-2014,1986-1993,EL DORADO HILLS,CA ,95762,7141 SILVA VALLEY PKWY.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROLLING RIDGE ELEMENTARY,California,CA ,ROLLING RIDGE ELEMENTARY,060846009527,CHINO VALLEY UNF,0608460,SAN BERNARDINO COUNTY,06071,Reported 7 categories,06,1989-2014,1986-1988,CHINO HILLS,CA ,91709,13677 CALLE SAN MARCOS,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROLLINGWOOD ELEMENTARY,California,CA ,ROLLINGWOOD ELEMENTARY,063423005399,SAN BRUNO PARK ELEM,0634230,SAN MATEO COUNTY,06081,Reported 7 categories,06,1986-2014,,SAN BRUNO,CA ,94066,2500 COTTONWOOD DR.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROMERO ELEMENTARY,California,CA ,ROMERO ELEMENTARY,061632309552,GUSTINE UNF,0616323,MERCED COUNTY,06047,Reported 7 categories,06,1989-2014,1986-1988,SANTA NELLA,CA ,95322,13500 W. LUIS RD.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
ROMOLAND ELEMENTARY,California,CA ,ROMOLAND ELEMENTARY,063339005173,ROMOLAND ELEM,0633390,RIVERSIDE COUNTY,06065,Reported 7 categories,06,1986-2014,,ROMOLAND,CA ,92585,25890 ANTELOPE RD.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
RON HOCKWALT ACADEMIES (CONTINUATION),California,CA ,RON HOCKWALT ACADEMIES (CONTINUATION),064128006837,WALNUT VALLEY UNF,0641280,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,WALNUT,CA ,91789,880 S. LEMON AVE.,4-Alternative/other school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
RON NUNN ELEMENTARY,California,CA ,RON NUNN ELEMENTARY,060591010194,BRENTWOOD UNION ELEM,0605910,CONTRA COSTA COUNTY,06013,Reported 7 categories,06,1991-2014,1986-1990,BRENTWOOD,CA ,94513,1755 CENTRAL BLVD.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
RONALD E. MCNAIR ELEMENTARY,California,CA ,RONALD E. MCNAIR ELEMENTARY,060962000979,COMPTON UNF,0609620,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,COMPTON,CA ,90222,1450 W. EL SEGUNDO AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
RONALD E. MCNAIR HIGH,California,CA ,RONALD E. MCNAIR HIGH,062223011418,LODI UNF,0622230,SAN JOAQUIN COUNTY,06077,Reported 7 categories,06,2005-2014,1986-2004,STOCKTON,CA ,95210,9550 RONALD E. MCNAIR WAY,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
RONALD MCNAIR ACADEMY,California,CA ,RONALD MCNAIR ACADEMY,063186004914,RAVENSWOOD CITY ELEM,0631860,SAN MATEO COUNTY,06081,Reported 7 categories,06,1986-2014,,EAST PALO ALTO,CA ,94303,2033 PULGAS AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
RONALD REAGAN ACADEMY,California,CA ,RONALD REAGAN ACADEMY,060006511370,DINUBA UNF,0600065,TULARE COUNTY,06107,Reported 7 categories,06,2003-2014,1986-2002,DINUBA,CA ,93618,470 AVE. 406,4-Alternative/other school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
RONALD REAGAN ELEMENTARY,California,CA ,RONALD REAGAN ELEMENTARY,060852011852,CHOWCHILLA ELEM,0608520,MADERA COUNTY,06039,Reported 7 categories,06,2006-2014,1986-2005,CHOWCHILLA,CA ,93610,2200 S. LAKE TAHOE DR.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
RONALD REAGAN ELEMENTARY,California,CA ,RONALD REAGAN ELEMENTARY,061111011713,DESERT SANDS UNF,0611110,RIVERSIDE COUNTY,06065,Reported 7 categories,06,2006-2014,1986-2005,PALM DESERT,CA ,92211,39-800 LIBERTY DR.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
RONALD REAGAN ELEMENTARY,California,CA ,RONALD REAGAN ELEMENTARY,060002711037,LAKE ELSINORE UNF,0600027,RIVERSIDE COUNTY,06065,Reported 7 categories,06,2005-2014,1986-2004,WILDOMAR,CA ,92595,35445 PORRAS RD.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
RONALD REAGAN ELEMENTARY,California,CA ,RONALD REAGAN ELEMENTARY,060639007503,PANAMA-BUENA VISTA UNION,0606390,KERN COUNTY,06029,Reported 7 categories,06,1998-2014,1986-1997,BAKERSFIELD,CA ,93311,10800 ROSSLYN LN.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
